product_id,day,execution_at,reference_bar_start,assumed_available_at,age_upper_bound_minutes,reference_price_usd,raw_path
XLM-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,0.076288,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/XLM-USD_20230616_0000_0015_60s.json
ADA-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:04:00+00:00,2023-06-17 00:05:00+00:00,1.0,0.2624,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ADA-USD_20230617_0000_0015_60s.json
ALGO-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:04:00+00:00,2023-06-17 00:05:00+00:00,1.0,0.1157,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ALGO-USD_20230617_0000_0015_60s.json
APT-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:02:00+00:00,2023-06-17 00:03:00+00:00,3.0,6.26,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/APT-USD_20230617_0000_0015_60s.json
ATOM-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:04:00+00:00,2023-06-17 00:05:00+00:00,1.0,8.741,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ATOM-USD_20230617_0000_0015_60s.json
AVAX-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:03:00+00:00,2023-06-17 00:04:00+00:00,2.0,11.51,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/AVAX-USD_20230617_0000_0015_60s.json
BCH-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:04:00+00:00,2023-06-17 00:05:00+00:00,1.0,107.88,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/BCH-USD_20230617_0000_0015_60s.json
BTC-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:04:00+00:00,2023-06-17 00:05:00+00:00,1.0,26325.27,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/BTC-USD_20230617_0000_0015_60s.json
CRV-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:04:00+00:00,2023-06-17 00:05:00+00:00,1.0,0.6203,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/CRV-USD_20230617_0000_0015_60s.json
DOT-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:04:00+00:00,2023-06-17 00:05:00+00:00,1.0,4.41,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/DOT-USD_20230617_0000_0015_60s.json
ETH-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:04:00+00:00,2023-06-17 00:05:00+00:00,1.0,1716.99,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ETH-USD_20230617_0000_0015_60s.json
FET-USD,2023-06-17 00:00:00+00:00,2023-06-17 00:05:00+00:00,2023-06-17 00:04:00+00:00,2023-06-17 00:05:00+00:00,1.0,0.1898,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/FET-USD_20230617_0000_0015_60s.json
